0,title,artist,genre,bpm,nrgy,dnce,live,val,dur,acous,spch,pop,artist_code,genre_code
68,Price Tag,Jessie J,australian pop,175,83,64,27,68,223,3,18,72,76,7
69,Good Life,OneRepublic,dance pop,95,69,63,13,65,253,8,5,72,135,25
70,Just Can’t Get Enough,The Black Eyed Peas,dance pop,94,63,66,11,26,219,19,18,71,167,25
71,On The Floor,Jennifer Lopez,dance pop,130,78,73,7,57,285,11,5,69,74,25
72,What's My Name?,Rihanna,barbadian pop,100,79,69,8,58,263,23,7,69,145,8
73,Yeah 3x,Chris Brown,dance pop,130,88,71,9,70,242,0,4,69,29,25
74,Without You (feat. Usher),David Guetta,dance pop,128,61,61,16,40,208,23,3,68,41,25
75,Sexy And I Know It,LMFAO,dance pop,130,86,71,19,80,199,10,32,67,92,25
76,The Edge Of Glory,Lady Gaga,dance pop,128,77,58,11,36,321,0,4,67,94,25
77,E.T.,Katy Perry,dance pop,152,87,62,37,76,230,2,18,66,86,25
78,Till the World Ends,Britney Spears,dance pop,132,71,69,20,45,238,2,7,65,18,25
79,I Wanna Go,Britney Spears,dance pop,130,55,70,33,79,210,0,4,64,18,25
80,Blow,Kesha,dance pop,120,73,75,7,81,220,0,4,64,89,25
81,You And I,Lady Gaga,dance pop,127,70,52,9,52,307,9,5,64,94,25
82,Judas,Lady Gaga,dance pop,131,93,66,27,53,249,0,7,63,94,25
83,Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,126,89,65,12,32,232,3,5,63,50,25
84,Please Don't Go,Mike Posner,dance pop,120,88,70,13,66,197,0,3,63,120,25
85,We Found Love,Rihanna,barbadian pop,128,77,73,11,60,215,3,4,61,145,8
86,Marry The Night,Lady Gaga,dance pop,131,88,61,46,38,265,0,6,61,94,25
87,1+1,Beyoncé,dance pop,63,38,30,7,26,274,38,3,60,16,25
88,Hold It Against Me,Britney Spears,dance pop,133,72,65,24,39,229,1,4,59,18,25
89,I'm Into You,Jennifer Lopez,dance pop,84,75,59,8,70,200,2,14,59,74,25
90,Papi,Jennifer Lopez,dance pop,120,81,71,37,89,223,13,6,58,74,25
91,Cheers (Drink To That),Rihanna,barbadian pop,80,91,58,29,73,262,2,4,58,145,8
92,S&M Remix,Rihanna,barbadian pop,128,81,82,5,89,257,5,5,54,145,8
93,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,91,95,64,18,57,220,6,7,52,172,25
94,Jar of Hearts,Christina Perri,dance pop,75,35,35,12,9,247,73,3,50,31,25
95,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,80,86,45,26,58,329,7,39,49,164,4
96,Turning Page,Sleeping At Last,acoustic pop,125,38,30,11,19,255,91,3,46,161,0
97,Super Bass,Nicki Minaj,dance pop,127,74,77,40,59,201,6,23,38,132,25
98,Raise Your Glass,P!nk,dance pop,122,64,68,12,56,208,0,12,38,137,25
99,Invading My Mind,Jennifer Lopez,dance pop,129,88,73,32,69,201,2,7,31,74,25
100,Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,130,88,50,22,37,279,39,38,28,132,25
101,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,126,81,65,67,72,231,0,4,27,86,25
102,Firework,Katy Perry,dance pop,124,83,64,11,65,228,14,5,25,86,25
103,Muny - Album Version (Edited),Nicki Minaj,dance pop,98,72,80,19,53,227,56,33,7,132,25
104,Titanium (feat. Sia),David Guetta,dance pop,126,79,60,13,30,245,7,10,80,41,25
105,Locked Out of Heaven,Bruno Mars,pop,144,70,73,31,87,233,5,4,79,19,48
106,Paradise,Coldplay,permanent wave,140,59,45,8,20,279,5,3,79,34,47
107,Payphone,Maroon 5,pop,110,75,74,29,55,231,2,4,79,114,48
108,What Makes You Beautiful,One Direction,boy band,125,79,73,6,89,200,1,7,78,134,12
109,I Knew You Were Trouble.,Taylor Swift,pop,77,47,62,3,68,220,0,4,77,166,48
110,Call Me Maybe,Carly Rae Jepsen,canadian pop,120,58,78,11,66,193,1,4,76,25,18
111,Love You Like A Love Song,Selena Gomez & The Scene,dance pop,117,68,86,7,92,188,8,5,76,155,25
112,Set Fire to the Rain,Adele,british soul,108,68,61,13,47,242,0,3,76,4,13
113,We Are Never Ever Getting Back Together,Taylor Swift,pop,86,68,63,12,75,193,1,9,75,166,48
114,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,116,94,56,11,68,222,5,5,74,87,25
115,Try,P!nk,dance pop,104,63,67,9,55,248,0,3,74,137,25
